node_id,parent_id,level,topic,tags,widgets,links
1,,1,Open Access and Open Science,,,
1-3,1,2,LAYER 3: Governance & Standardization,,,
1-3-1,1-3,3,6. Open Mind,,,
1-3-1-1,1-3-1,4,Historical Background,,,
1-3-1-1-1,1-3-1-1,5,Rooted in scientific ethos,,,
1-3-1-1-2,1-3-1-1,5,Connected to educational philosophies,,,
1-3-1-1-3,1-3-1-1,5,Essential for collaborative knowledge production,,,
1-3-1-2,1-3-1,4,Current Focus,,,
1-3-1-2-1,1-3-1-2,5,Cultural foundation for other open practices,,,
1-3-1-2-2,1-3-1-2,5,"Emphasis on inclusivity, empathy",,,
1-3-1-2-3,1-3-1-2,5,Psychological prerequisite for innovation,,,
1-3-2,1-3,3,7. Open Review,,,
1-3-2-1,1-3-2,4,Historical Background,,,
1-3-2-1-1,1-3-2-1,5,Traditional peer review closed & opaque,,,
1-3-2-1-2,1-3-2-1,5,Open peer review experiments (1990s-2000s),,,
1-3-2-1-3,1-3-2-1,5,"Pioneered transparency (F1000, BMC)",,,
1-3-2-2,1-3-2,4,Current Focus,,,
1-3-2-2-1,1-3-2-2,5,More journals adopting open identities,,,
1-3-2-2-2,1-3-2-2,5,"Aimed at improving accountability, reducing bias",,,
1-3-2-2-3,1-3-2-2,5,Integration with preprint platforms,,,
1-3-3,1-3,3,8. Open Policy,,,
1-3-3-1,1-3-3,4,Historical Background,,,
1-3-3-1-1,1-3-3-1,5,Emerged from open government & digital governance,,,
1-3-3-1-2,1-3-3-1,5,"Examples: US Open Gov Directive (2009), EU PSI Directive",,,
1-3-3-1-3,1-3-3-1,5,"Driven by transparency, anti-corruption",,,
1-3-3-2,1-3-3,4,Current Focus,,,
1-3-3-2-1,1-3-3-2,5,"Policies for open science, education, government data",,,
1-3-3-2-2,1-3-3-2,5,Increasing citizen participation in policymaking,,,
1-3-3-2-3,1-3-3-2,5,"Expansion to AI governance, digital sovereignty",,,
1-3-4,1-3,3,9. Open Standards,,,
1-3-4-1,1-3-4,4,Historical Background,,,
1-3-4-1-1,1-3-4-1,5,"Rooted in early internet protocols (TCP/IP, HTTP)",,,
1-3-4-1-2,1-3-4-1,5,"Developed through multi-stakeholder bodies (W3C, ISO)",,,
1-3-4-1-3,1-3-4-1,5,Prevented monopolistic control of digital ecosystems,,,
1-3-4-2,1-3-4,4,Current Focus,,,
1-3-4-2-1,1-3-4-2,5,"Essential for interoperability in AI, IoT",,,
1-3-4-2-2,1-3-4-2,5,"Increasing push for open APIs, schema standards",,,
1-3-4-2-3,1-3-4-2,5,"Critical for data portability, competition",,,
1-4,1,2,TOP LAYER: Integrated Technological Innovation,,,
1-4-1,1-4,3,10. Open AI,,,
1-4-1-1,1-4-1,4,Historical Background,,,
1-4-1-1-1,1-4-1-1,5,Influenced by open-source ethos,,,
1-4-1-1-2,1-4-1-1,5,Early AI research shared models & datasets openly,,,
1-4-1-1-3,1-4-1-1,5,"Growing concern (post-2015) about safety, bias",,,
1-4-1-2,1-4-1,4,Current Focus,,,
1-4-1-2-1,1-4-1-2,5,Transparency in model documentation & evaluation,,,
1-4-1-2-2,1-4-1-2,5,"Push for open-weight models (LLaMA, Mistral)",,,
1-4-1-2-3,1-4-1-2,5,"Multi-stakeholder governance (academia, industry)",,,
1-1,1,2,FOUNDATION LAYER: Core Infrastructures,,,
1-1-1,1-1,3,1. Open Access (OA),,,
1-1-1-1,1-1-1,4,Historical Background,,,
1-1-1-1-1,1-1-1-1,5,"Emerged early 2000s (Budapest, Bethesda, Berlin)",,,
1-1-1-1-2,1-1-1-1,5,Reaction to rising journal subscription costs,,,
1-1-1-1-3,1-1-1-1,5,Driven by academic activism,,,
1-1-1-2,1-1-1,4,Current Focus,,,
1-1-1-2-1,1-1-1-2,5,Shift to transformative agreements,,,
1-1-1-2-2,1-1-1-2,5,"Increasing funder mandates (e.g., Plan S)",,,
1-1-1-2-3,1-1-1-2,5,Emphasis on equity for Global South,,,
1-1-2,1-1,3,2. Open Source Software (OSS),,,
1-1-2-1,1-1-2,4,Historical Background,,,
1-1-2-1-1,1-1-2-1,5,1980s Free Software Movement (Stallman),,,
1-1-2-1-2,1-1-2-1,5,"Term ""Open Source"" popularized late 1990s",,,
1-1-2-1-3,1-1-2-1,5,"New development model: ""bazaar"" vs ""cathedral""",,,
1-1-2-2,1-1-2,4,Current Focus,,,
1-1-2-2-1,1-1-2-2,5,"Foundation of modern infrastructure (cloud, AI)",,,
1-1-2-2-2,1-1-2-2,5,Corporate-community collaboration,,,
1-1-2-2-3,1-1-2-2,5,Critical for transparency & reproducibility in AI,,,
1-2,1,2,LAYER 2: Collaborative & Cultural Enablers,,,
1-2-1,1-2,3,3. Open Data,,,
1-2-1-1,1-2-1,4,Historical Background,,,
1-2-1-1-1,1-2-1-1,5,Scientific reproducibility norms & open government,,,
1-2-1-1-2,1-2-1-1,5,"UK, US, EU launched major open data portals (2009-2013)",,,
1-2-1-1-3,1-2-1-1,5,"Initial focus: transparency, anti-corruption",,,
1-2-1-2,1-2-1,4,Current Focus,,,
